jasper 3.0.6-1
java-runtime-common 3-3
jbig2dec 0.19-1
jemalloc 1:5.3.0-1
jetbrains-fleet 1.9.231-1
jq 1.6-4
jre-openjdk 19.0.1.u10-3
jre-openjdk-headless 19.0.1.u10-3
js78 78.15.0-4
json-c 0.16-1
json-glib 1.6.6-2
jsoncpp 1.9.5-2
juk 22.12.0-1
k3b 1:22.12.0-1
kaccounts-integration 22.12.0-1
kaccounts-providers 22.12.0-1
kactivities 5.100.0-1
kactivities-stats 5.100.0-1
kactivitymanagerd 5.26.4-1
kaddressbook 22.12.0-1
kajongg 22.12.0-1
kalarm 22.12.0-1
kalarmcal 21.12.3-1
kalgebra 22.12.0-1
kalzium 22.12.0-1
kamera 22.12.0-1
kamoso 22.12.0-1
kanagram 22.12.0-1
kapman 22.12.0-1
kapptemplate 22.12.0-1
karchive 5.100.0-1
kate 22.12.0-1
katomic 22.12.0-1
kauth 5.100.0-1
kbackup 22.12.0-1
kbd 2.5.1-1
kblackbox 22.12.0-1
kblocks 22.12.0-1
kbookmarks 5.100.0-1
kbounce 22.12.0-1
kbreakout 22.12.0-1
kbruch 22.12.0-1
kcachegrind 22.12.0-1
kcachegrind-common 22.12.0-1
kcalc 22.12.0-1
kcalendarcore 5.100.0-1
kcalutils 22.12.0-1
kcharselect 22.12.0-1
kcmutils 5.100.0-1
kcodecs 5.100.0-1
kcolorchooser 22.12.0-1
kcolorpicker 0.2.0-1
kcompletion 5.100.0-1
kconfig 5.100.1-1
kconfigwidgets 5.100.0-1
kcontacts 1:5.100.0-1
kcoreaddons 5.100.0-1
kcrash 5.100.0-1
kcron 22.12.0-1
kdav 1:5.100.0-1
kdbusaddons 5.100.0-1
kde-cli-tools 5.26.4-1
kde-dev-scripts 22.12.0-1
kde-dev-utils 22.12.0-1
kde-gtk-config 5.26.4-1
kdebugsettings 22.12.0-1
kdeclarative 5.100.0-1
kdeconnect 22.12.0-1
kdecoration 5.26.4-1
kded 5.100.0-1
kdeedu-data 22.12.0-1
kdegraphics-mobipocket 22.12.0-1
kdegraphics-thumbnailers 22.12.0-1
kdelibs4support 5.100.0-1
kdenetwork-filesharing 22.12.0-1
kdenlive 22.12.0-1
